illiteracy,lifeExp,murder,hsGrad,region
2.1,69.05,15.1,41.3,South
1.5,69.31,11.3,66.7,West
1.8,70.55,7.8,58.1,West
1.9,70.66,10.1,39.9,South
1.1,71.71,10.3,62.6,West
0.7,72.06,6.8,63.9,West
1.1,72.48,3.1,56,Northeast
0.9,70.06,6.2,54.6,South
1.3,70.66,10.7,52.6,South
2,68.54,13.9,40.6,South
1.9,73.6,6.2,61.9,West
0.6,71.87,5.3,59.5,West
0.9,70.14,10.3,52.6,North Central
0.7,70.88,7.1,52.9,North Central
0.5,72.56,2.3,59,North Central
0.6,72.58,4.5,59.9,North Central
1.6,70.1,10.6,38.5,South
2.8,68.76,13.2,42.2,South
0.7,70.39,2.7,54.7,Northeast
0.9,70.22,8.5,52.3,South
1.1,71.83,3.3,58.5,Northeast
0.9,70.63,11.1,52.8,North Central
0.6,72.96,2.3,57.6,North Central
2.4,68.09,12.5,41,South
0.8,70.69,9.3,48.8,North Central
0.6,70.56,5,59.2,West
0.6,72.6,2.9,59.3,North Central
0.5,69.03,11.5,65.2,West
0.7,71.23,3.3,57.6,Northeast
1.1,70.93,5.2,52.5,Northeast
2.2,70.32,9.7,55.2,West
1.4,70.55,10.9,52.7,Northeast
1.8,69.21,11.1,38.5,South
0.8,72.78,1.4,50.3,North Central
0.8,70.82,7.4,53.2,North Central
1.1,71.42,6.4,51.6,South
0.6,72.13,4.2,60,West
1,70.43,6.1,50.2,Northeast
1.3,71.9,2.4,46.4,Northeast
2.3,67.96,11.6,37.8,South
0.5,72.08,1.7,53.3,North Central
1.7,70.11,11,41.8,South
2.2,70.9,12.2,47.4,South
0.6,72.9,4.5,67.3,West
0.6,71.64,5.5,57.1,Northeast
1.4,70.08,9.5,47.8,South
0.6,71.72,4.3,63.5,West
1.4,69.48,6.7,41.6,South
0.7,72.48,3,54.5,North Central
0.6,70.29,6.9,62.9,West
