Drivers killed	Front seat passangers killed	Rear seat passangers killed	date
107	867	269	19690131
97	825	265	19690228
102	806	319	19690331
87	814	407	19690430
119	991	454	19690531
106	945	427	19690630
110	1004	522	19690731
106	1091	536	19690831
107	958	405	19690930
134	850	437	19691031
147	1109	434	19691130
180	1113	437	19691231
125	925	316	19700131
134	903	311	19700228
110	1006	351	19700331
102	892	362	19700430
103	990	486	19700531
111	866	429	19700630
120	1095	551	19700731
129	1204	646	19700831
122	1029	456	19700930
183	1147	475	19701031
169	1171	456	19701130
190	1299	468	19701231
134	944	356	19710131
108	874	271	19710228
104	840	354	19710331
117	893	427	19710430
157	1007	465	19710531
148	973	440	19710630
130	1097	539	19710731
140	1194	646	19710831
136	988	457	19710930
140	1077	446	19711031
187	1045	402	19711130
150	1115	441	19711231
159	1005	359	19720131
143	857	334	19720229
114	879	312	19720331
127	887	427	19720430
159	1075	434	19720531
156	1121	486	19720630
138	1190	569	19720731
120	1058	523	19720831
117	939	418	19720930
170	1074	452	19721031
168	1089	462	19721130
198	1208	497	19721231
144	903	354	19730131
146	916	347	19730228
109	787	276	19730331
131	1114	472	19730430
151	1014	487	19730531
140	1022	505	19730630
153	1114	619	19730731
140	1132	640	19730831
161	1111	559	19730930
168	1008	453	19731031
152	916	418	19731130
136	992	419	19731231
113	731	262	19740131
100	665	299	19740228
103	724	303	19740331
103	744	401	19740430
121	910	413	19740531
134	883	426	19740630
133	900	516	19740731
129	1057	600	19740831
144	1076	459	19740930
154	919	443	19741031
156	920	412	19741130
163	953	400	19741231
122	664	278	19750131
92	607	302	19750228
117	777	381	19750331
95	633	279	19750430
96	791	442	19750531
108	790	409	19750630
108	803	416	19750731
106	884	511	19750831
140	769	393	19750930
114	732	345	19751031
158	859	391	19751130
161	994	470	19751231
102	704	266	19760131
127	684	312	19760229
125	671	300	19760331
101	643	373	19760430
97	771	412	19760531
112	644	322	19760630
112	828	458	19760731
113	748	427	19760831
108	767	346	19760930
128	825	421	19761031
154	810	344	19761130
162	986	370	19761231
112	714	291	19770131
79	567	224	19770228
82	616	266	19770331
127	678	338	19770430
108	742	298	19770531
110	840	386	19770630
123	888	479	19770731
103	852	473	19770831
97	774	332	19770930
140	831	391	19771031
165	889	370	19771130
183	1046	431	19771231
148	889	366	19780131
111	626	250	19780228
116	808	355	19780331
115	746	304	19780430
100	754	379	19780531
106	865	440	19780630
134	980	500	19780731
125	959	511	19780831
117	856	384	19780930
122	798	366	19781031
153	942	432	19781130
178	1010	390	19781231
114	796	306	19790131
94	643	232	19790228
128	794	342	19790331
119	750	329	19790430
111	809	394	19790531
110	716	355	19790630
114	851	385	19790731
118	931	463	19790831
115	834	453	19790930
132	762	373	19791031
153	880	401	19791130
171	1077	466	19791231
115	748	306	19800131
95	593	263	19800229
92	720	323	19800331
100	646	310	19800430
95	765	424	19800531
114	820	403	19800630
102	807	406	19800731
104	885	466	19800831
132	803	381	19800930
136	860	369	19801031
117	825	378	19801130
137	911	392	19801231
111	704	284	19810131
106	691	316	19810228
98	688	321	19810331
84	714	358	19810430
94	814	378	19810531
105	736	382	19810630
123	876	433	19810731
109	829	506	19810831
130	818	428	19810930
153	942	479	19811031
134	782	370	19811130
99	823	349	19811231
115	595	238	19820131
104	673	285	19820228
131	660	324	19820331
108	676	346	19820430
103	755	410	19820531
115	815	411	19820630
122	867	496	19820731
122	933	534	19820831
125	798	396	19820930
137	950	470	19821031
138	825	385	19821130
152	911	411	19821231
120	619	281	19830131
95	426	300	19830228
100	475	318	19830331
89	556	391	19830430
82	559	398	19830531
89	483	337	19830630
60	587	477	19830731
84	615	422	19830831
113	618	495	19830930
126	662	471	19831031
122	519	368	19831130
118	585	345	19831231
92	483	296	19840131
86	434	319	19840229
81	513	349	19840331
84	548	375	19840430
87	586	441	19840531
90	522	465	19840630
79	601	472	19840731
96	644	521	19840831
122	643	429	19840930
120	641	408	19841031
137	711	490	19841130
154	721	491	19841231
