,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,genre
281,2001: A Space Odyssey,1968,156,10500000.0,8.3,64982,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,34.5,,,,,,,,,
1651,Alien,1979,116,11000000.0,8.3,63400,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,,,,,,,,
1678,Aliens,1986,154,18500000.0,8.3,63961,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,Action,,,,,,,Action
2105,American Beauty,1999,121,15000000.0,8.5,109991,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,,,,Drama,,,,Drama
2148,American History X,1998,119,10000000.0,8.4,59677,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,,,,Drama,,,,Drama
2177,American Pie,1999,95,11000000.0,6.8,41126,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,,,Comedy,,,,,Comedy
2923,Apocalypse Now,1979,202,31500000.0,8.5,64785,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,R,Action,,,Drama,,,,Action
2926,Apollo 13,1995,140,62000000.0,7.5,41098,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,,,,Drama,,,,Drama
3128,Armageddon,1998,153,140000000.0,5.7,45330,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,PG-13,Action,,,,,,,Action
3256,As Good as It Gets,1997,139,50000000.0,7.7,47441,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,PG-13,,,Comedy,Drama,,Romance,,Comedy
3978,Back to the Future,1985,111,19000000.0,8.1,68647,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,Action,,Comedy,,,,,Action
4779,"Beautiful Mind, A",2001,135,60000000.0,7.8,43291,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,PG-13,,,,Drama,,,,Drama
4952,Being John Malkovich,1999,113,13000000.0,7.9,55079,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,,,,Comedy,Drama,,,,Comedy
